Year,Date,Name,Sex,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_of_Fire,Type_of_Death,Impunity_for_Murder,Taken_Captive,Threatened,Tortured,Link
2015,3-Nov-15,Zaman Mehsud,Male,Pakistan,"Daily Ummat, Daily Nai Baat",Pakistan,Print,Print Reporter,"Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2015/zaman-mehsud.php
2015,1-Nov-15,Mustaf Abdi Noor ,Male,Somalia,Freelance ,Somalia,"Television, Internet","Camera Operator, Photographer","Politics, War",Yes,Local,Political Group,Dangerous Assignment,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/mustaf-abdi-noor.php
2015,31-Oct-15,Faisal Arefin Dipan,Male,Bangladesh,Jagriti Prokashoni ,Bangladesh,Print,Publisher,unknown,No,Local,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/faisal-arefin-dipan.php
2015,30-Oct-15,Fares Hamadi,Male,Turkey,Eye on the Homeland,Syrian,"Print, Internet",Producer,"Corruption, Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/fares-hamadi.php
2015,30-Oct-15,Ibrahim Abd al-Qader,Male,Turkey,"Eye on the Homeland, Raqqa is Being Slaughtered Silently",Syrian,"Print, Internet",Editor,"Corruption, Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/ibrahim-abd-al-qader.php
2015,27-Oct-15,Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Male,Syria,Shahba Press Agency,Syrian,Internet,"Broadcast, Camera Operator, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/jomaa-al-ahmad-abu-al-nour-al-halabi.php
2015,23-Oct-15,Wasem Aledel,Male,Syria,Maarat Media Center,Syrian,"Television, Internet","Camera Operator, Photographer, Internet Reporter","Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",https://www.cpj.org/killed/2015/wasem-aledel.php
2015,26-Sep-15,Obada Ghazal,Male,Syria,SMART News Agency,Syria ,Television,"Camera Operator, Photographer, Internet Reporter",War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/obada-ghazal.php
2015,17-Sep-15,Bilal Sharaf al-Deen,Male,Yemen,Al-Masirah TV,Yemen,Television,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/bilal-sharaf-al-deen.php
2015,12-Sep-15,Yahya Abdul Hamid,Male,Iraq,Radio Rasheed,Iraqi,Radio,Editor,"Corruption, Crime, Human Rights, Politics",No,Local,Political Group,Murder,Yes,Yes,No,"No
",https://www.cpj.org/killed/2015/yahya-abdul-hamid.php
2015,10-Sep-15,George Abanga,Male,Ghana,"Success FM, Peace FM",Ghana,Radio,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
",https://www.cpj.org/killed/2015/george-abanga.php
2015,10-Sep-15,Flor Alba N“_ez Vargas,Female,Colombia,Red Noticias and La Preferida Estereo,Colombia,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/flor-alba-nunez-vargas.php
2015,26-Aug-15,Adam Ward,Male,United States of America,WDBJ7,United States,Television,Camera Operator,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Local Residents,Dangerous Assignment,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/adam-ward.php
2015,26-Aug-15,Alison Parker,Female,United States of America,WDBJ7,United States,Television,Broadcast,"Business, Corruption, Crime, Culture, Human Rights, Politics, Sports",No,Local,Local Residents,Dangerous Assignment,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/alison-parker.php
2015,15-Aug,Adel Sayegh ,Male,Iraq,Salaheddin TV,Iraqi,Television,"Camera Operator, Photographer","Politics, War",No,Local,Political Group,Murder,Yes,Yes,Unknown,Unknown,https://www.cpj.org/killed/2015/adel-sayegh.php
2015,7-Aug-15,Niloy Neel,Male,Bangladesh,Freelance,Bangladesh,Internet,Internet Reporter,"Culture, Human Rights, Politics",Yes,Local,Political Group,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/niloy-neel.php
2015,6-Aug-15,Gleydson Carvalho,Male,Brazil,Radio Liberdade FM 90.3,Brazil,Radio,Broadcast,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/gleydson-carvalho.php
2015,31-Jul-15,Rub_n Espinosa Becerril,Male,Mexico,"Proceso, AVC Noticias, Cuartoscuro",Mexico,Print,Photographer,"Culture, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"Yes
",https://www.cpj.org/killed/2015/ruben-espinosa-becerril.php
2015,27-Jul-15,Thaer al-Ajlani,Male,Syria,Sham FM; al-Watan,Syria,"Print, Radio, Television","Broadcast, Camera Operator, Print Reporter",War,Yes,Local,Political Group,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/thaer-al-ajlani.php
2015,15-Jul-15,Jalaa al-Abadi,Male,Iraq,Nineveh Reporters Network,Iraq,Internet,"Camera Operator, Photographer","Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,Yes,Yes,"No
",https://www.cpj.org/killed/2015/jalaa-al-abadi.php
2015,2-Jul-15,Filadelfo Sönchez Sarmiento,Male,Mexico,La Favorita 103.3FM La Voz de la Sierra Sur,Mexico,"Print, Radio","Broadcast, Print Reporter",Politics,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/filadelfo-sanchez-sarmiento.php
2015,26-Jun-15,Mohammed al-Asfar,Male,Syria,Al-Jazeera,Syria,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/mohammed-al-asfar.php
2015,14-Jun-15,_ukasz Masiak,Male,Poland,Nasza M_awa,Poland ,Internet,"Editor, Internet Reporter","Corruption, Crime",No,Local,Local Residents,Murder,Yes,No,Yes,"No
",https://www.cpj.org/killed/2015/lukasz-masiak-nasza-mlawa.php
2015,8-Jun-15,Jagendra Singh,Male,India,Freelance,India,"Print, Internet",Internet Reporter,"Corruption, Crime, Politics",Yes,Local,Government Officials,Murder,Yes,No,No,"Yes
",https://www.cpj.org/killed/2015/jagendra-singh.php
2015,31-May-15,Ammar al-Shami,Male,Syria,Qasioun News ,Syria,Internet,Photographer,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Unknown,Unknown,Unknown,https://www.cpj.org/killed/2015/ammar-al-shami.php
2015,"May 22 or 23, 2015",Djalma Santos da Conceiç o,Male,Brazil,RCA FM,Brazil,Radio,Broadcast,"Corruption, Crime",No,Local,"Criminal Group, Government Officials",Murder,Yes,Yes,Yes,"Yes
",https://www.cpj.org/killed/2015/djalma-santos-da-conceicao.php
2015,21-May-15,Abdullah Qabil,Male,Yemen,"Yemen Youth TV, Belqees TV",Yemen,Television,Broadcast,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
",https://www.cpj.org/killed/2015/abdullah-qabil.php
2015,21-May-15,Youssef al-Ayzari,Male,Yemen,Suhail TV,Yemen,Television,Broadcast,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,"No
",https://www.cpj.org/killed/2015/youssef-al-ayzari.php
2015,"May 13, 14, 15, 16, 17, or 18, 2015",Evany Jos_ Metzker,Male,Brazil,Coruja do Vale,Brazil,Internet,Internet Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
",https://www.cpj.org/killed/2015/evany-jose-metzker.php
